PosWord	Value
质朴	0.500283 
朝气	0.501052 
现在	0.502551 
吉首	0.506345 
以前	0.506923 
挺不错	0.507474 
电脑感觉	0.507589 
责	0.508770 
磁	0.509178 
整装待发	0.509566 
冉冉	0.509600 
高大	0.512748 
评价	0.513636 
言教	0.513951 
操作	0.515444 
本性	0.515596 
价位	0.516179 
十一两	0.516512 
本人	0.516779 
再	0.516920 
朵朵	0.517095 
厚	0.517137 
一收到电脑	0.517471 
拉丝机	0.517576 
一套套	0.517865 
艳	0.517881 
59秒	0.518108 
开荒	0.518186 
惠惠	0.518353 
且温升	0.520322 
一不用	0.520525 
大众网	0.520702 
铅酸	0.520775 
不错哦	0.523759 
毛毯	0.524219 
一级	0.524391 
两三	0.525159 
出面	0.525227 
没说的	0.525263 
位	0.525661 
宝贝疙瘩	0.525664 
急事	0.526030 
要不得	0.527651 
值值	0.527939 
不怎么	0.529173 
非常棒	0.529455 
家家	0.529685 
第一666666666666666666666666666666666666	0.530180 
简介	0.530324 
棒棒哒	0.531067 
外	0.531115 
5千6	0.531307 
一起	0.531470 
查	0.531791 
强冷超	0.531893 
反派	0.532293 
张大	0.532573 
个班	0.532941 
型	0.532958 
荣荣	0.533427 
发顺	0.533753 
七万九	0.533813 
实力派	0.534694 
阿阿	0.534862 
开道	0.535901 
义马	0.535963 
提	0.536258 
公共场所	0.536520 
绕弯子	0.536631 
杆	0.536859 
耗材	0.537016 
红外线	0.537129 
邓	0.538011 
地球	0.538058 
简直	0.538149 
速度特别	0.538389 
@剑客	0.539008 
大出血	0.539452 
水墨	0.539902 
博得	0.540149 
粗布	0.540183 
准确无误	0.540502 
分销	0.540894 
索拉卡	0.541027 
麦东点	0.541255 
工作者	0.541450 
个好看	0.541898 
上运行速度	0.541929 
想	0.541984 
砂	0.542233 
识	0.542869 
外观	0.543524 
次购物	0.543797 
咂	0.543832 
边疆	0.543848 
收到	0.544360 
回复	0.544939 
相邻	0.545436 
博客	0.545440 
一倒腾	0.545705 
87秒	0.545848 
逼真度	0.546521 
说说	0.547612 
十三万五千	0.547661 
丰顺	0.548213 
留下来	0.548217 
老表	0.548239 
境	0.549043 
小雅	0.550074 
非常	0.550237 
真皮	0.551012 
一支付	0.551625 
开支	0.552800 
婕	0.553267 
补救	0.553722 
不错啊	0.554131 
60分	0.554656 
店主	0.554684 
认知	0.554765 
超赞	0.555979 
云雾	0.556634 
上设置	0.556772 
象素	0.557461 
公公	0.557526 
禁得起	0.557635 
看看	0.557637 
白色版	0.558151 
上可以接受	0.559298 
个商务	0.559358 
有去无回	0.559817 
笔	0.560246 
游戏本	0.560345 
科	0.560559 
图	0.560806 
终于	0.560913 
个最高	0.561567 
一秀大	0.561669 
经济	0.562423 
口粮	0.562557 
花荣加	0.562915 
性比价	0.563000 
个旅游	0.563007 
上驱动精灵	0.563574 
怀着	0.564186 
战时	0.564197 
合口味	0.564212 
小梦	0.565487 
届	0.566148 
星座	0.566724 
有心人	0.566758 
表示	0.567096 
个新机	0.567637 
和剑灵	0.567708 
购	0.567776 
莫须有	0.567800 
转	0.568322 
携手	0.568404 
比较喜欢	0.568540 
一试用	0.568724 
前年	0.569041 
青少年	0.569741 
个磨砂	0.569771 
事情	0.569846 
1万5千	0.569873 
配置	0.570513 
新都	0.570530 
一阵	0.570730 
情面	0.570741 
33秒	0.571514 
丝巾	0.572090 
景天	0.572252 
一万九	0.572472 
尤其	0.573292 
上qq游戏	0.573691 
分享	0.573770 
产品	0.573779 
