Word	Freq	Word	Freq	Word	Freq	Word	Freq	Word	Freq	Word	Freq	Word	Freq	Word	Freq	Word	Freq	Word	Freq	Word	Freq	Word	Freq	Word	Freq	Word	Freq	Word	Freq	Word	Freq
电脑	37995	外观	10532	客服	13995	电池	1555	质量	5622	性价比	12226	速度	6432	系统	9502	内存	2598	屏幕	8312	散热	6425	配置	7858	东西	10367	物流	10590	游戏	9160	办公	2461
笔记本	7471	外形	1839	卖家	8569	小时	1023	正品	4684	价格	5418	运行速度	2332	win10	4923	硬盘	2494	效果	2088	声音	2004	性能	7511	鼠标	5400	快递	6579	玩游戏	6290	电影	1482
机子	6026	手感	1597	服务	8073	个小时	706	实体店	1011	价位	3082	反应	1586	软件	3695	显卡	2351	分辨率	1040	温度	1747	方面	2599	键盘	4345	包装	6318	lol	2738	视频	1085
宝贝	5611	颜色	1553	店家	4428	电源	658	家店	664	价钱	1252	次开机	673	win7	1976	套餐	1715	画质	997	风扇	1240	电脑非常	688	赠品	2012	发货	5387	压力	2254	工作	601
本本	5336	颜值	1056	服务态度	4133	接口	405	商品	659	性比价	116	电脑运行	535	处理器	724	i7	825	画面	986	散热器	1130	电脑性能	531	电脑包	1389	收到货	1296	特效	1875	网页	555
机器	4024	质感	836	态度	3395	耐用	365	店铺	459	经济	89	电脑开机	499	win8	684	ssd	684	色彩	331	功能	959	电脑配置	424	鼠标垫	1128	顺丰快递	733	玩lol	1003	娱乐	392
品牌	1980	设计	819	客服态度	2470	充电器	237	淘宝	436	性价	88	网速	488	程序	615	机械硬盘	589	显示屏	322	发热	959	电脑确实	222	贴膜	996	物流速度	497	fps	737	电视	390
整体	1902	样子	804	老板	2244	主板	208	公司	424	个性价比	85	关机	400	分区	592	i5	545	清晰度	296	音质	814	待机	192	键盘膜	876	电话	378	大型游戏	581	qq	277
本子	1885	金属	766	商家	1405	电源适配器	174	天猫	391			电脑速度	325	操作	545	内存条	486	音效	352	噪音	529	机子性能	165	包包	866	箱子	294	网游	501	音乐	269
产品	1697	电脑外观	765	客服服务	1097	螺丝	152	电脑质量	372			神速	220	正版	503	8g	376	完美屏	184	音响	526			礼物	856	包裹	282	魔兽	412	数据	142
游戏本	1047	款式	734	店家服务	975	usb	148	旗舰店	342			速度非常	207	装系统	446	光驱	320	高清屏	184	风扇声音	495			礼品	848	开箱	274	gta5	382	cad	126
款电脑	1042	机身	679	售后服务	830	电量	141	电子	264			机子运行	116	office	393	机械	310	数字	182	触摸板	412			配件	707	快递员	262	世界	356	资料	119
牌子	940	高端	657	客服服务态度	807	插口	125	质量好	260					黑屏	360	显示器	302	电脑屏幕	176	音效	352			背包	535	外包装	219	ps	344	影音	102
笔记本电脑	797	霸气	642	店主	663	设备	119	东东	204					桌面	317	4g	245	摄像头	148	散热效果	239			无线鼠标	492	地址	188	单机	341	家用	98
台电脑	543	外壳	623	指导	427	信任	116	保障	198					教程	284	个固态	94	触摸屏	145	模具	219			耳机	490	盒子	164	飞车	315	文档	95
款笔记本	296	塑料	535	帮助	359	信号	98	消费者	173					w10	283	个固态硬盘	93	图像	123	喇叭	197			u盘	385	订单	162	个游戏	269	办公室	87
款机子	232	重量	471	掌柜	300	上电源	97	信誉	136					windows10	269	显存	84	ips屏	112	cpu温度	186			双肩包	233	货物	161	cf	259	电视剧	79
整机	151	外表	403	幻影	299	蓝牙	93	公道	134					界面	226	固态盘	83	ips	110	音响效果	184			保护膜	196	顺风	160	dnf	234	编程	70
款机器	121	造型	292	诚信	236	开机键	85	专卖店	122					版本	220	双显卡	73	音箱	110	杂音	176			个鼠标	154	换货	155	3d	195	网站	68
一台电脑	116	材质	281	雨舞	223	电源线	84	联保	120					wifi	208	i3	73	亮度	107	个散热器	171			礼包	142	运输	128	单机游戏	179	画图	67
台笔记本	184	指纹	276	信息	220	适配器	83	原装正品	114					个软件	192	ssd硬盘	67	触控板	105	发热量	151			套装	142	陆运	106	剑灵	174	生活	62
款产品	59	商务	253	客服人员	215	usb接口	79	描述相符	99					w7	189	集显	64	雾面屏	102	电脑散热	123			机械键盘	107	运费	104	火线	172	聊天	60
		触屏	249	科长	201	开关	77	产品质量	94					win	185	硬件配置	58	视觉	102	静音	115			书包	96	仓库	91	撸啊撸	145	作图	51
		平板	205	录音机	195	耗电	67	全新正品	81					应用	183	光驱位	56	指示灯	88	风口	95			手提包	87	日期	89	最高画质	139	表格	51
		样式	198	技术人员	194	损耗	66	假货	78					浏览器	172	ddr4	53	色差	85	空调	94			肩包	82	邮费	86	主流游戏	137	作业	50
		磨砂	190	天虎	184	主机	60							个系统	164	gtx960m	52	扬声器	75	低音	94			垫子	80	包装盒	84	网络游戏	114	制图	41
		厚度	189	阳光	162									方法	163	diy	51	tn屏	63	音量	93			装备	74	泡沫	82	dota2	107		
		金色	186	妹子	160									家庭版	162	代i7	50	ips屏幕	63	电流声	91			个电脑包	72	顺丰物流	79	古墓	100		
		档次	171	旋风	157									旗舰	158	集成显卡	44	背景	61	响声	79			个键盘	71	补差价	68	刺客	98		
		外观设计	145	月光	154									兼容性	148	核显	44	色域	50	散热口	70			包鼠	69	纸箱	65	游戏卡	97		
		表面	144	人员	150									出厂	142	gtx960	43	触控	37	热量	66			个键盘膜	66	路上	64	坦克世界	95		
		蓝色	133	悍将	148									c盘	141					噪声	55			鼠标键	56	速递	61	逆战	95		
		类型	130	工程师	147									网卡	137											途中	59	英雄	94		
		面板	127	店家态度	140									磁盘	135											快递公司	53	款游戏	93		
		内部	116	中途	133									win8.1	130											单子	52	传说	91		
		本本外观	108	个客服	130									w10系统	128											快递包装	51	信条	87		
		大屏	104	花荣	119									windows	126											包装箱	51	电脑玩游戏	84		
		c面	104	工作人员	112									漏洞	126													玩cf	81		
		工艺	87	销售	105									w8	111													任务	81		
		标志	86	客服幻影	105									操作系统	108													剑三	70		
		背面	80	技术员	102									专业版	106													巫师	70		
		风格	70	mm	97									页面	106													团战	66		
				姐姐	92									缘故	105													wow	63		
				哥哥	79									装固态	104													天涯	59		
				说客	72									window10	94													战地	55		
				贝贝	72									家庭	90													大型单机游戏	51		
				骑士	71									光盘	82													玩dnf	49		
